薬局等番号,都道府県,市区町村_推定,薬局等名称,住所_正規化,住所,住所_都道府県除く,住所_残り,電話番号_数字,電話番号,HP,開局等時間,時間外対応,時間外対応_有無,時間外の電話番号_数字,時間外の電話番号,プライバシー確保策,事前電話連絡,事前電話連絡_要否,販売可能薬剤師数_女性,販売可能薬剤師数_男性,販売可能薬剤師数_答えたくない,備考,削除日,データ時点,データ出典_URL,データファイル_URL,検索用
1,和歌山県,西牟婁郡上富田町,有限会社出嶋調剤薬局,和歌山県西牟婁郡上富田町朝来795-5,和歌山県西牟婁郡上富田町朝来７９５－５,西牟婁郡上富田町朝来795-5,朝来795-5,0739474109,0739474109,,月火金:8:30-19:00､水木:8:30-18:00､土:8:30-13:00,有,True,0739474109,0739474109,衝立,要,True,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,和歌山県 西牟婁郡上富田町 有限会社出嶋調剤薬局 和歌山県西牟婁郡上富田町朝来795-5 0739474109
2,宮城県,仙台市泉区,調剤薬局ツルハドラッグ南光台店,宮城県仙台市泉区南光台南3丁目20-6,宮城県仙台市泉区南光台南３丁目２０ー６,仙台市泉区南光台南3丁目20-6,南光台南3丁目20-6,0222539133,0222539133,,月-金:9:00-13:30､14:30-18:00土:9:00-12:30,,False,,,他者のいない時間対応,要,True,2,,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,宮城県 仙台市泉区 調剤薬局ツルハドラッグ南光台店 宮城県仙台市泉区南光台南3丁目20-6 0222539133
3,福島県,会津若松市,かぼちゃ薬局飯寺店,福島県会津若松市門田町飯寺南1丁目14-18,福島県会津若松市門田町飯寺南１丁目１４－１８,会津若松市門田町飯寺南1丁目14-18,門田町飯寺南1丁目14-18,0242291214,0242291214,,月､火､水､金9:00-18:00木10:00-18:00土9:00-13:00,有,True,,,衝立,要,True,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,福島県 会津若松市 かぼちゃ薬局飯寺店 福島県会津若松市門田町飯寺南1丁目14-18 0242291214
4,新潟県,新潟市中央区,調剤薬局ツルハドラッグ新潟関屋店,新潟県新潟市中央区関屋浜松町79-1,新潟県新潟市中央区関屋浜松町７９－１,新潟市中央区関屋浜松町79-1,関屋浜松町79-1,0252342268,0252342268,https://www.tsuruha.co.jp/,月-金:9:00-13:00､14:00-18:30土:9:00-13:00,,False,,,衝立,要,True,1,,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,新潟県 新潟市中央区 調剤薬局ツルハドラッグ新潟関屋店 新潟県新潟市中央区関屋浜松町79-1 0252342268 https://www.tsuruha.co.jp/
5,三重県,津市,イオン薬局イオンスタイル津南,三重県津市高茶屋小森町145番地,三重県津市高茶屋小森町１４５番地,津市高茶屋小森町145番地,高茶屋小森町145番地,0592385220,0592385220,https://www.aeonretail.jp/syohousen/,9:00-22:00,,False,,,衝立,要,True,1,,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,三重県 津市 イオン薬局イオンスタイル津南 三重県津市高茶屋小森町145番地 0592385220 https://www.aeonretail.jp/syohousen/
6,愛知県,豊橋市,シーズ調剤薬局二川店,愛知県豊橋市大岩町字北元屋敷34-15,愛知県豊橋市大岩町字北元屋敷３４ー１５,豊橋市大岩町字北元屋敷34-15,大岩町字北元屋敷34-15,0532417171,0532417171,,月･水･金:8:30-19:00､火:8:30-18:00､木:8:30-16:30､土:8:30-12:30,有,True,08035329234,08035329234,個室,要,True,,2,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,愛知県 豊橋市 シーズ調剤薬局二川店 愛知県豊橋市大岩町字北元屋敷34-15 0532417171
7,福島県,福島市,有限会社しみず薬局,福島県福島市大森字舘ノ内74-1,福島県福島市大森字舘ノ内７４ー１,福島市大森字舘ノ内74-1,大森字舘ノ内74-1,0245458298,0245458298,,月-金:9:00-18:30､土:9:00-13:00,有,True,08062631120,08062631120,個室；衝立；他者のいない時間対応,要,True,,3,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,福島県 福島市 有限会社しみず薬局 福島県福島市大森字舘ノ内74-1 0245458298
8,石川県,河北郡内灘町,タイガー薬局,石川県河北郡内灘町大根布7丁目121,石川県河北郡内灘町大根布７丁目１２１,河北郡内灘町大根布7丁目121,大根布7丁目121,0762136133,0762136133,https://tiger-prime.com/,月-金:9:00-12:00/14:00-17:00､土:9:00-13:00,有,True,0762136133,0762136133,衝立；他者のいない時間対応,,False,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,石川県 河北郡内灘町 タイガー薬局 石川県河北郡内灘町大根布7丁目121 0762136133 https://tiger-prime.com/
9,福島県,郡山市,さくら薬局郡山島店,福島県郡山市島二丁目22番1号,福島県郡山市島二丁目２２番１号,郡山市島二丁目22番1号,島二丁目22番1号,0249312134,0249312134,,月-水､金:9:00-18:00､木､土:9:00-17:00,有,True,0249312134,0249312134,衝立,要,True,1,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,福島県 郡山市 さくら薬局郡山島店 福島県郡山市島二丁目22番1号 0249312134
10,福島県,須賀川市,さくら薬局須賀川北町店,福島県須賀川市北町10-1,福島県須賀川市北町１０－１,須賀川市北町10-1,北町10-1,0248723121,0248723121,https://store.ainj.co.jp/detail/1102150/,月-金:8:30-17:30､日:9:00-13:00,有,True,0248723121,0248723121,衝立,要,True,,1,,,,2026-01-27,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001643057.xlsx,福島県 須賀川市 さくら薬局須賀川北町店 福島県須賀川市北町10-1 0248723121 https://store.ainj.co.jp/detail/1102150/
