Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,販売可能薬剤師数_男性,販売可能薬剤師数_答えたくない,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,電話番号_数字,時間外の電話番号_数字,住所_正規化,住所_都道府県除く,市区町村_推定,住所_残り,データ時点,データ出典_URL,データファイル_URL
薬局等番号,都道府県,薬局等名称,住所,電話番号,女性,男性,答えたくない,HP,開局時間,時間外対応の有無,時間外の電話番号,プライバシー確保策,事前連絡,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
1,和歌山県,有限会社出嶋調剤薬局,和歌山県西牟婁郡上富田町朝来７９５－５,0739474109,,1,,,月火金:8:30-19:00､水木:8:30-18:00､土:8:30-13:00,有,0739474109,衝立,要,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
2,宮城県,調剤薬局ツルハドラッグ南光台店,宮城県仙台市泉区南光台南３丁目２０ー６,0222539133,2,,,,月-金:9:00-13:30､14:30-18:00土:9:00-12:30,,,他者のいない時間対応,要,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
3,福島県,かぼちゃ薬局飯寺店,福島県会津若松市門田町飯寺南１丁目１４－１８,0242291214,,1,,,月､火､水､金9:00-18:00木10:00-18:00土9:00-13:00,,,衝立,要,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
4,新潟県,調剤薬局ツルハドラッグ新潟関屋店,新潟県新潟市中央区関屋浜松町７９－１,0252342268,1,,,https://www.tsuruha.co.jp/,月-金:9:00-13:00､14:00-18:30土:9:00-13:00,,,衝立,要,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
5,三重県,イオン薬局イオンスタイル津南,三重県津市高茶屋小森町１４５番地,0592385220,3,,,https://www.aeonretail.jp/syohousen/,9:00-22:00,,,衝立,要,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
6,愛知県,シーズ調剤薬局二川店,愛知県豊橋市大岩町字北元屋敷３４ー１５,0532417171,,2,,,月･水･金:8:30-19:00､火:8:30-18:00､木:8:30-16:30､土:8:30-12:30,有,08035329234,個室,要,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
7,福島県,有限会社しみず薬局,福島県福島市大森字舘ノ内７４ー１,0245458298,,3,,,月-金:9:00-18:30､土:9:00-13:00,有,08062631120,個室；衝立；他者のいない時間対応,要,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
8,石川県,タイガー薬局,石川県河北郡内灘町大根布７丁目１２１,0762136133,1,1,,https://tiger-prime.com/,月-金:9:00-12:00/14:00-17:00､土:9:00-13:00,有,0762136133,衝立；他者のいない時間対応,,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
9,福島県,さくら薬局郡山島店,福島県郡山市島二丁目２２番１号,0249312134,1,1,,,月-水､金:9:00-18:00､木､土:9:00-17:00,有,0249312134,衝立,要,,,,,,,2026-01-31,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001647982.xlsx
