薬局等番号,都道府県,薬局等名称,住所,電話番号,販売可能薬剤師数_女性,販売可能薬剤師数_男性,販売可能薬剤師数_答えたくない,HP,開局時間,時間外対応の有無,時間外の電話番号,プライバシー確保策,事前連絡,備考,削除日,開局等時間,時間外対応,事前電話連絡,電話番号_数字,時間外の電話番号_数字,住所_正規化,住所_都道府県除く,市区町村_推定,住所_残り,時間外対応_有無,事前電話連絡_要否,データ時点,データ出典_URL,データファイル_URL
66,北海道,調剤薬局ツルハドラッグ旭川駅前店,北海道旭川市宮下通９丁目２番１７号,0166213269,2,2,0,,月-金:9:00-18:00､土:9:00-13:00,,,衝立,,,,月-金:9:00-18:00､土:9:00-13:00,,,0166213269,,北海道旭川市宮下通9丁目2番17号,旭川市宮下通9丁目2番17号,旭川市,宮下通9丁目2番17号,False,False,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
80,北海道,調剤薬局ツルハドラッグ五稜郭店,北海道函館市港町１丁目１ー２,0138626268,0,2,0,,月-金:9:30-19:30土:9:30-18:30日:9:30-13:30,,,衝立,要,,,月-金:9:30-19:30土:9:30-18:30日:9:30-13:30,,要,0138626268,,北海道函館市港町1丁目1-2,函館市港町1丁目1-2,函館市,港町1丁目1-2,False,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
117,北海道,調剤薬局ツルハドラッグ旭川大町3条店,,,0,0,0,,,,,,,148へ統合,2026/3/9,,,,,,,,,,False,False,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
123,北海道,調剤薬局ツルハドラッグ函館湯川西店,北海道函館市湯川町１丁目２４番１６号,0138866788,0,1,0,https://shop.tsuruha-g.com/1554c,月-金:9:30-13:30､14:30-18:30､土:9:30-13:30,,,衝立；他者のいない時間対応,要,,,月-金:9:30-13:30､14:30-18:30､土:9:30-13:30,,要,0138866788,,北海道函館市湯川町1丁目24番16号,函館市湯川町1丁目24番16号,函館市,湯川町1丁目24番16号,False,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
148,北海道,調剤薬局ツルハドラッグ旭川大町３条店,北海道旭川市大町３条５丁目２３９７ー１８,0166467268,1,2,0,https://shop.tsuruha-g.com/1179,月-金:9:00-18:00､土-日:9:00-13:00,,,衝立；他者のいない時間対応,要,,,月-金:9:00-18:00､土-日:9:00-13:00,,要,0166467268,,北海道旭川市大町3条5丁目2397-18,旭川市大町3条5丁目2397-18,旭川市,大町3条5丁目2397-18,False,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
1162,北海道,旭薬みどりがおか薬局,北海道旭川市緑が丘２条４丁目１２番地３,0166662639,1,1,0,https://kyokuyaku.com,月～金：8:30-18:00、土：9:00-13:00,,,個室,要,,,月～金：8:30-18:00、土：9:00-13:00,,要,0166662639,,北海道旭川市緑が丘2条4丁目12番地3,旭川市緑が丘2条4丁目12番地3,旭川市,緑が丘2条4丁目12番地3,False,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
3870,北海道,株式会社中央薬局,北海道旭川市４条通１１丁目２２３０ー２,0166222108,1,0,0,https://www.chuo-pharm.co.jp/,月-金:9:00-18:00､土:9:00-13:00,有,09076445015,個室,要,,,月-金:9:00-18:00､土:9:00-13:00,有,要,0166222108,09076445015,北海道旭川市4条通11丁目2230-2,旭川市4条通11丁目2230-2,旭川市,4条通11丁目2230-2,True,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
5351,北海道,旭薬ホクト薬局,北海道旭川市２条通１丁目左１号,0166246611,1,1,0,http://kyokuyaku.com/,月-金:8:30-18:00,有,0166246611,個室；他者のいない時間対応,要,,,月-金:8:30-18:00,有,要,0166246611,0166246611,北海道旭川市2条通1丁目左1号,旭川市2条通1丁目左1号,旭川市,2条通1丁目左1号,True,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
9006,北海道,調剤薬局ツルハドラッグ南稚内店,北海道稚内市大黒2丁目3番3号,0162247281,0,4,0,,月～金：9:00-19:00、土：9:00-14:00,有,080-5021-0078,衝立,,,,月～金：9:00-19:00、土：9:00-14:00,有,,0162247281,08050210078,北海道稚内市大黒2丁目3番3号,稚内市大黒2丁目3番3号,稚内市,大黒2丁目3番3号,True,False,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
9111,北海道,くらら薬局銀座店,北海道旭川市４条通１５丁目１６９３番地３,0166679039,0,1,0,https://crara-pharmacy.studio.site/,月～水・金：9:00-17:00、木・土：9:00-12:00,有,090-6444-1051,衝立；他者のいない時間対応,要,,,月～水・金：9:00-17:00、木・土：9:00-12:00,有,要,0166679039,09064441051,北海道旭川市4条通15丁目1693番地3,旭川市4条通15丁目1693番地3,旭川市,4条通15丁目1693番地3,True,True,2026-09-03,https://www.mhlw.go.jp/stf/kinnkyuuhininnyaku_00005.html,https://www.mhlw.go.jp/content/11120000/001745129.xlsx
